universe_index,family,taxon,issue,detail
137,BORAGINACEAE,Anchusa arvensis,NO_API_TAXON,
139,BORAGINACEAE,Anchusa italica,NO_API_TAXON,
144,ASTERACEAE,Andryala ragusina,NO_API_TAXON,
145,ASTERACEAE,Andryala ragusina var. ragusina,NO_API_TAXON,
146,RANUNCULACEAE,Anemone nemorosa,NO_API_TAXON,
147,RANUNCULACEAE,Anemone ranunculoides,NO_API_TAXON,
149,APIACEAE,Angelica major,NO_API_TAXON,
153,ORCHIDACEAE,Anteriorchis fragrans,NO_API_TAXON,
154,ASTERACEAE,Anthemis alpestris,NO_API_TAXON,
156,ASTERACEAE,Anthemis carpatica,NO_API_TAXON,
158,ASTERACEAE,Anthemis triumfetti,NO_API_TAXON,
161,POACEAE,Anthoxanthum ovatum subsp. aristatum,NO_EXACT_TAXON_MATCH,
164,FABACEAE,Anthyllis montana subsp. hispanica,NO_EXACT_TAXON_MATCH,
165,FABACEAE,Anthyllis vulneraria subsp. alpestris,NO_EXACT_TAXON_MATCH,
166,FABACEAE,Anthyllis vulneraria subsp. gandogeri,NO_EXACT_TAXON_MATCH,
167,FABACEAE,Anthyllis vulneraria subsp. iberica,NO_EXACT_TAXON_MATCH,
168,FABACEAE,Anthyllis vulneraria subsp. sampaioana,NO_EXACT_TAXON_MATCH,
169,FABACEAE,Anthyllis vulneraria subsp. vulnerarioides,NO_EXACT_TAXON_MATCH,
170,PLANTAGINACEAE,Antirrhinum barrelieri,NO_API_TAXON,
171,PLANTAGINACEAE,Antirrhinum braun-blanquetii,NO_API_TAXON,
172,PLANTAGINACEAE,Antirrhinum litigiosum,NO_API_TAXON,
174,ROSACEAE,Aphanes arvensis,NO_API_TAXON,
175,ROSACEAE,Aphanes australis,NO_API_TAXON,
176,ROSACEAE,Aphanes cornucopioides,NO_API_TAXON,
177,ROSACEAE,Aphanes microcarpa,NO_API_TAXON,
180,APIACEAE,Apium nodiflorum,NO_API_TAXON,
186,BRASSICACEAE,Arabis parvula,NO_API_TAXON,
187,BRASSICACEAE,Arabis planisiliqua,NO_API_TAXON,
188,BRASSICACEAE,Arabis scabra,NO_API_TAXON,
189,BRASSICACEAE,Arabis serpillifolia,NO_API_TAXON,
190,BRASSICACEAE,Arabis turrita,NO_API_TAXON,
195,CARYOPHYLLACEAE,Arenaria erinacea,NO_API_TAXON,
196,CARYOPHYLLACEAE,Arenaria grandiflora,NO_API_TAXON,
199,CARYOPHYLLACEAE,Arenaria modesta,NO_API_TAXON,
200,CARYOPHYLLACEAE,Arenaria montana,NO_API_TAXON,
201,CARYOPHYLLACEAE,Arenaria pomelii subsp. ciliaris,NO_API_TAXON,
206,PLUMBAGINACEAE,Armeria alliacea subsp. matritensis,NO_API_TAXON,
208,PLUMBAGINACEAE,Armeria arenaria subsp. arenaria,NO_EXACT_TAXON_MATCH,
209,PLUMBAGINACEAE,Armeria arenaria subsp. bilbilitana,NO_EXACT_TAXON_MATCH,
210,PLUMBAGINACEAE,Armeria bigerrensis subsp. losae,NO_EXACT_TAXON_MATCH,
211,PLUMBAGINACEAE,Armeria cantabrica,NO_API_TAXON,
212,ASTERACEAE,Arnoseris minima,NO_API_TAXON,
215,POACEAE,Arrhenatherum elatius subsp. bulbosum,NO_EXACT_TAXON_MATCH,
216,POACEAE,Arrhenatherum elatius subsp. sardoum,NO_EXACT_TAXON_MATCH,
220,ASTERACEAE,Artemisia herba-alba,NO_API_TAXON,
225,ARACEAE,Arum orientale subsp. orientale,NO_EXACT_TAXON_MATCH,
229,RUBIACEAE,Asperula aristata subsp. scabra,NO_API_TAXON,
231,RUBIACEAE,Asperula cynanchica,NO_API_TAXON,
232,RUBIACEAE,Asperula pyrenaica,NO_API_TAXON,
235,ASPHODELACEAE,Asphodelus albus subsp. albus,NO_EXACT_TAXON_MATCH,
236,ASPHODELACEAE,Asphodelus ayardii,NO_API_TAXON,
240,ASPHODELACEAE,Asphodelus serotinum,NO_API_TAXON,
242,ASPLENIACEAE,Asplenium billotii,NO_API_TAXON,
244,ASPLENIACEAE,Asplenium csikii,NO_API_TAXON,
246,ASPLENIACEAE,Asplenium obovatum subsp. lanceolatum,NO_EXACT_TAXON_MATCH,
247,ASPLENIACEAE,Asplenium onopteris,NO_API_TAXON,
251,ASPLENIACEAE,Asplenium seelosii subsp. glabrum,NO_EXACT_TAXON_MATCH,
254,ASPLENIACEAE,Asplenium trichomanes subsp. hastatum,NO_EXACT_TAXON_MATCH,
255,ASPLENIACEAE,Asplenium trichomanes subsp. quadrivalens,NO_EXACT_TAXON_MATCH,
257,ASPLENIACEAE,Asplenium x alternifolium,UNPARSABLE_NAME,
258,ASPLENIACEAE,Asplenium x sarniense,UNPARSABLE_NAME,
259,ASPLENIACEAE,Asplenium x souchei,UNPARSABLE_NAME,
260,ASPLENIACEAE,Asplenium x staufferi,UNPARSABLE_NAME,
261,ASPLENIACEAE,Asplenium x ticinense,UNPARSABLE_NAME,
263,ASTERACEAE,Aster aragonensis,NO_API_TAXON,
264,ASTERACEAE,Aster linosyris,NO_API_TAXON,
265,ASTERACEAE,Aster squamatus,NO_API_TAXON,
266,ASTERACEAE,Aster willkommii,NO_API_TAXON,
268,PRIMULACEAE,Asterolinon linum-stellatum,NO_API_TAXON,
269,FABACEAE,Astragalus alopecuroides,NO_API_TAXON,
273,FABACEAE,Astragalus glaux,NO_API_TAXON,
277,FABACEAE,Astragalus incanus,NO_API_TAXON,
278,FABACEAE,Astragalus incanus subsp. nummularioides,NO_API_TAXON,
