B_SOURCE_RECORD_ID,NOMBRE_RIOJA_VERBATIM,input_MITECO_IDTAXON,reuse_stage,explicit_historical_resolution_signal,exact_name_evidence_count,documented_relation_evidence_count
1272,Hieracium pilosella subsp. tricholepium,,NO_HISTORICAL_REUSE_MATCH,False,0,0
3555,Himantoglossum hircinum subsp. hircinum,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4217,Hippocrepis comosa subsp. squamata,,NO_HISTORICAL_REUSE_MATCH,False,0,0
2617,Jasione laevis subsp. carpetana,,EXACT_NAME,True,3,0
4244,Juncus conglomeratus var. conglomeratus,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4245,Juncus conglomeratus var. laxus,,EXACT_NAME,True,3,0
2929,Juncus effusus var. effusus,,EXACT_NAME,True,2,0
2930,Juncus effusus var. subglomeratus,,NO_HISTORICAL_REUSE_MATCH,False,0,0
2500,Juncus inflexus var. inflexus,,EXACT_NAME,False,4,0
4837,Knautia arvernensis,,EXACT_NAME,True,3,0
591,Knautia subscaposa subsp. subscaposa,,NO_HISTORICAL_REUSE_MATCH,False,0,0
5335,Koeleria pyramidata subsp. pyramidata,,NO_HISTORICAL_REUSE_MATCH,False,0,0
2538,Leucanthemum ircutianum,,EXACT_NAME,True,4,0
4589,Linaria alpina var. aciculifolia,,EXACT_NAME,True,3,0
1433,Linaria proxima,,EXACT_NAME,True,3,0
3758,Littorela uniflora,,NO_HISTORICAL_REUSE_MATCH,False,0,0
1412,Lotus preslii,,EXACT_NAME,True,3,0
5195,Luzula campestris subsp. carpetana,,NO_HISTORICAL_REUSE_MATCH,False,0,0
1949,Luzula multiflora subsp. congesta,,NO_HISTORICAL_REUSE_MATCH,False,0,0
636,Luzula sylvatica subsp. henriquesii,,NO_HISTORICAL_REUSE_MATCH,False,0,0
2037,Lysimachia nemorun,,EXACT_NAME,False,4,0
2034,Myosotis nemorosa,,NO_HISTORICAL_REUSE_MATCH,False,0,0
900,Myosotis ramosissima subsp. globularis,,EXACT_NAME,True,3,0
5122,Narcissus bulbocodium subsp. bulbocodium,,EXACT_NAME,True,3,0
2041,Nepeta nepetella subsp. cordifolia,,EXACT_NAME,True,3,0
2953,Odontites eliassennenii,,EXACT_NAME,True,3,0
1529,Odontites longiflora,,EXACT_NAME,False,4,0
3843,Odontites verna,,EXACT_NAME,False,5,0
3837,Odontites verna subsp. serotina,,EXACT_NAME,False,5,0
3839,Odontites verna subsp. verna,,EXACT_NAME,False,5,0
3942,Odontites viscosa,,EXACT_NAME,False,5,0
624,Omalotheca supina subsp. pusilla,,NO_HISTORICAL_REUSE_MATCH,False,0,0
635,Omalotheca sylvatica subsp. carpetana,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4403,Onopordon acanthium,,EXACT_NAME,False,5,0
4309,Onopordon corymbosum,,EXACT_NAME,False,5,0
2045,Onopordon nervosum,,EXACT_NAME,False,5,0
4407,Onopordum acaulon subsp. acaulon,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4791,Ophrys arnoldii,,EXACT_NAME,True,3,0
5031,Ophrys bilunulata,,EXACT_NAME,True,3,0
5299,Ophrys castellana,,EXACT_NAME,True,3,0
1166,Ophrys passionis,,EXACT_NAME,True,3,0
1261,Ophrys picta,,EXACT_NAME,True,3,0
986,Ophrys riojana,,EXACT_NAME,True,3,0
3813,Ophrys vasconica,,EXACT_NAME,True,3,0
1262,Orchis picta,,EXACT_NAME,True,3,0
2620,Orobanche laevis,,EXACT_NAME,True,3,0
5337,Orobanche leptantha,,EXACT_NAME,True,3,0
4770,Paronychia argentea var. argentea,,NO_HISTORICAL_REUSE_MATCH,False,0,0
5247,Paronychia capitata var. capitata,,EXACT_NAME,False,4,0
2582,Paronychia kapela var. pseudoaretioides,,NO_HISTORICAL_REUSE_MATCH,False,0,0
1348,Paronychia polygonifolia var. polygonifolia,,NO_HISTORICAL_REUSE_MATCH,False,0,0
2228,Peucedanum officinales subsp. officinale,,NO_HISTORICAL_REUSE_MATCH,False,0,0
843,Phyteuma pyrenaicum,,NO_HISTORICAL_REUSE_MATCH,False,0,0
3402,Pimpinella gracilis,,EXACT_NAME,True,3,0
3401,Pimpinella gracilis subsp. puberula,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4588,Plantago alpina subsp. penyalarensis,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4876,Plantago atrata subsp. discolor,,EXACT_NAME,True,3,0
4172,Platanthera clorantha,,EXACT_NAME,False,4,0
5125,Poa bulbosa var. vivipara,,EXACT_NAME,True,3,0
2071,Populus nigra var. italica,,EXACT_NAME,True,3,0
3817,Potentilla velutina,,EXACT_NAME,True,3,0
5127,Ranunculus bulbosus var. aleae,,EXACT_NAME,True,2,0
5128,Ranunculus bulbosus var. hispanicus,,NO_HISTORICAL_REUSE_MATCH,False,0,0
1189,Ranunculus peltatus var. peltatus,,EXACT_NAME,False,4,0
1614,Rhamnus lycioides subsp. velutina,,EXACT_NAME,True,3,0
1442,Robinia pseudacacia,,EXACT_NAME,True,2,0
