universe_index,family,taxon,historical_taxon,effective_identity_state,fresh_iucn_threat_reference_present,resolution,special_interpretation,checked_at,powo_state,powo_matched_canonical,powo_scientific_name,powo_authorship,powo_taxonomic_status,powo_accepted_name,powo_accepted_id,powo_taxon_id,powo_source_sha256,powo_error,wfo_state,wfo_matched_canonical,wfo_scientific_name,wfo_authorship,wfo_taxonomic_status,wfo_accepted_name,wfo_accepted_id,wfo_taxon_id,wfo_source_sha256,wfo_error,anthos_state,anthos_matched_canonical,anthos_scientific_name,anthos_authorship,anthos_taxonomic_status,anthos_accepted_name,anthos_accepted_id,anthos_taxon_id,anthos_source_sha256,anthos_error
871,ORCHIDACEAE,Epipactis phyllantes,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.066683+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
934,EUPHORBIACEAE,Euphorbia helioscopin subsp. helioscopioides,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.067817+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
948,OROBANCHACEAE,Euphrasia officinalis subsp. rostkovina,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.068047+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
963,POACEAE,Festuca carpetana,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.068308+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
999,LILIACEAE,Fritillaria nervosa subsp. nervosa,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.068878+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1121,ASTERACEAE,Gnaphalium luteo-album,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.071431+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1166,CARYOPHYLLACEAE,Herniaria fruticosa var. fruticosa,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.072200+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1168,CARYOPHYLLACEAE,Herniaria glabra var. glabra,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.072238+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1173,CARYOPHYLLACEAE,Herniaria scabrida var. scabrida,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.072321+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1203,ASTERACEAE,Hieracium pulmorioides,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:39:11.072786+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
