position309,B_SOURCE_RECORD_ID,nameVerbatim,sourceRank,isHybrid,finalCategory,ID_TAXON_EXACT,state
279,1709,Simethis mattiazzi,species,False,RESOLVED,32028,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
280,4887,Sixalix atropurpurea,species,False,RESOLVED,8066,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
281,3916,Solidago virgaurea subsp. fallit-tirones,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
282,4780,Sorbus aria subsp. aria,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
283,4898,Sorbus aucuparia subsp. aucuparia,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
284,1941,Sorbus mougeotii,species,False,RESOLVED,8562,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
285,2231,Stachys officinalis subsp. officinalis,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
286,923,Stachys recta subsp. recta,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
287,3394,Taraxacum gr. erythrospermum,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
288,3397,Taraxacum gr. officinale,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
289,392,Taraxacum sp.,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
290,1690,Tetragonolobus maritimus var. hirsutus,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
291,5313,Tilia x vulgaris,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
292,4813,Torilis arvensis subsp. arvensis,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
293,2626,Tragopogon lamottei,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
294,1910,Trifolium montanum subsp. montanum,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
295,945,Trifolium repens subsp. nevadense,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
296,946,Trifolium repens subsp. repens,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
297,3445,Trinia glauca subsp. glauca,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
298,3988,Ulmus x hollandica,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
299,5271,Valerianella carinata,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
300,1582,Valerianella lusitanica,species,False,RESOLVED,9247,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
301,1969,Valerianella muricata,species,False,RESOLVED,9245,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
302,5343,Verbascum rotundifolium ripacurcicum,species,False,RESOLVED,9297,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
303,240,Verbascum thapsus subsp. crassifolium,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
304,241,Verbascum thapsus subsp. montanum,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
305,242,Verbascum thapsus subsp. thapsus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
306,4923,Veronica austriaca subsp. vahlii,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
307,3512,Veronica hederifolia subsp. hederifolia,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
308,2372,Vicia pannonica var. purpurascens,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
309,105,Vicia sativa subsp. nigra,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
